site,eastings,northings,D,type,ID,rep,depth,sample_no,bottle,cylinder,sieve,tin,sieve+sample0.6-2,sieve0.6-2,sandL,sieve+sample0.212-0.6,sieve0.212-0.6,sandM,sieve+sample0.063-0.212,sieve0.063-0.212,sandS,bottle+sample0.002-0.063,bottle0.002-0.063,Z,bottle+sample<0.002,bottle<0.002,C,S,F,%sandL,%sandM,%sandS,SAND,SILT,CLAY,total
CP,504522.6586,252605.0603,0.063905,SP,1,1,3,63,23B,5C,6,11A,87.7495,87.5966,0.1529,83.691,82.3734,1.3176,80.174,79.1008,1.0732,80.0479,79.5207,0.5272,80.2386,79.9871,0.2515,2.5437,11.8096,1.29,11.16,9.09,21.54,46.69,31.77,100
CP,504522.6586,252605.0603,0.063905,SP,1,1,4,64,20B,9C,1,9C,88.9451,88.8294,0.1157,85.0843,84.1936,0.8907,83.47,82.4505,1.0195,80.963,80.4675,0.4955,79.5749,79.3369,0.238,2.0259,10.6578,1.09,8.36,9.57,19.01,48.32,32.67,100
CP,504373.189,252485.545,0.063905,PA,21,1,1,65,17B,4A,2,4C,91.1968,91.0994,0.0974,85.9601,84.4344,1.5257,87.5972,86.4541,1.1431,84.5727,84.1911,0.3816,81.0181,80.7321,0.286,2.7662,9.1201,1.07,16.73,12.53,30.33,20.96,48.7,100
CP,504373.189,252485.545,0.063905,PA,21,1,2,66,17C,5A,6,5C,87.7627,87.5984,0.1643,84.1099,82.3662,1.7437,80.4331,79.0989,1.3342,80.4427,79.9974,0.4453,83.0724,82.7984,0.274,3.2422,10.8701,1.51,16.04,12.27,29.83,31.52,38.66,100
CP,504373.189,252485.545,0.063905,PA,21,1,3,67,21B,3A,4,3C,90.1395,89.9213,0.2182,84.9234,83.6773,1.2461,85.9308,84.8403,1.0905,85.2971,84.8301,0.467,79.2684,79.0417,0.2267,2.5548,10.6167,2.06,11.74,10.27,24.06,45.27,30.67,100
CP,504373.189,252485.545,0.063905,PA,21,1,4,68,15C,2C,2,8A,91.2191,91.095,0.1241,86.1463,84.4005,1.7458,87.6407,86.4437,1.197,80.4261,79.912,0.5141,79.9283,79.663,0.2653,3.0669,12.0708,1.03,14.46,9.92,25.41,41.22,33.37,100
CP,504283.189,252425.545,0.063905,PA,25,1,1,69,15B,6C,7,12A,92.7504,92.6181,0.1323,86.7846,86.1374,0.6472,85.3193,84.2581,1.0612,80.159,79.779,0.38,80.4116,80.1491,0.2625,1.8407,8.1626,1.62,7.93,13,22.55,28.79,48.66,100
CP,504283.189,252425.545,0.063905,PA,25,1,2,70,24B,2A,3,2C,91.8531,91.6965,0.1566,87.1584,85.3896,1.7688,88.596,87.2063,1.3897,80.1415,79.6606,0.4809,81.0905,80.8644,0.2261,3.3151,11.655,1.34,15.18,11.92,28.44,43.72,27.83,100
CP,504283.189,252425.545,0.063905,PA,25,1,3,71,18C,1A,6,1C,87.8912,87.6145,0.2767,84.3387,82.4391,1.8996,79.6315,79.1118,0.5197,80.3149,79.8223,0.4926,83.5235,83.2419,0.2816,2.696,11.2699,2.46,16.86,4.61,23.92,37.44,38.63,100
CP,504283.189,252425.545,0.063905,PA,25,1,4,72,23A,8C,2,8A,91.2813,91.0992,0.1821,85.2228,84.4519,0.7709,87.7979,86.4668,1.3311,83.4523,82.9885,0.4638,84.5825,84.1814,0.4011,2.2841,10.282,1.77,7.5,12.95,22.21,12.2,65.59,100
