dateCollected,type,ID,rep,block,depth,BD,MC,coreLength,coreArea,coreVol,VMC,grid,lat,lon
03/10/2012,PA,25,3,1,50,1.32,0.28,55.9,7.092884,39.65,0.28,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,50,1.3,0.26,50,7.092884,35.46,0.26,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,1,1,50,1.3,0.26,50,7.092884,35.46,0.26,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,50,1.37,0.27,48.9,7.092884,34.68,0.27,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,25,2,1,50,1.37,0.27,48.9,7.092884,34.68,0.27,TL0428352425,52.160259,-0.47692621
03/10/2012,PA,30,3,1,5,0.93,0.39,47.3,7.092884,33.55,0.39,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,5,0.93,0.39,47.3,7.092884,33.55,0.39,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,5,0.82,0.45,56.9,7.092884,40.36,0.45,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,5,0.82,0.45,56.9,7.092884,40.36,0.45,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,5,0.77,0.48,60.6,7.092884,42.98,0.48,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,5,0.77,0.48,60.6,7.092884,42.98,0.48,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,15,1.05,0.31,40.9,7.092884,29.01,0.31,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,15,1.05,0.31,40.9,7.092884,29.01,0.31,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,15,0.9,0.32,48.6,7.092884,34.47,0.32,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,15,0.9,0.32,48.6,7.092884,34.47,0.32,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,15,1.14,0.27,42,7.092884,29.79,0.27,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,15,1.14,0.27,42,7.092884,29.79,0.27,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,30,1.17,0.25,37.4,7.092884,26.53,0.25,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,30,1.17,0.25,37.4,7.092884,26.53,0.25,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,30,1.06,0.3,45,7.092884,31.92,0.3,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,30,1.06,0.3,45,7.092884,31.92,0.3,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,30,1.31,0.23,44,7.092884,31.21,0.23,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,30,1.31,0.23,44,7.092884,31.21,0.23,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,50,1.34,0.21,54.3,7.092884,38.51,0.21,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,1,1,50,1.34,0.21,54.3,7.092884,38.51,0.21,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,50,1.47,0.19,55.8,7.092884,39.58,0.19,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,3,1,50,1.47,0.19,55.8,7.092884,39.58,0.19,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,30,2,1,50,1.37,0.2,53.9,7.092884,38.23,0.2,TL0430552382,52.159868,-0.47661792
