NR.SAS,type,ID,depth,X_coord,Y_coord,block,depth1,di,reps,reps_included,ol_occ,OC2,BD,MC,coreLength,coreArea,coreVol,VMC,BD_g_mean,group_q75,group_q25,group_iqr,mEquiv,mMeas,BD1,mMeas1,tC1,MSOC1,vsoc1,tC,MSOC,vsoc
379,FW,8,1,504493.189,252265.545,2,5,10,1,1,FALSE,5.954887,0.892722222222222,0.466666666666667,48.7333333333333,7.092884,34.5666666666667,0.466666666666667,0.948166666666667,0.9925,0.89,0.1025,1e+05,8.92722222222222,1.00877611111111,10.0877611111111,9.9120023895843,59.5428628522501,60.0714774996611,11.2006927002303,59.5435539400443,53.1605995572222
380,FW,8,2,504493.189,252265.545,2,15,10,1,1,FALSE,3.506098,1.09333333333333,0.343333333333333,49.5333333333333,7.092884,35.1333333333333,0.343333333333333,1.1935,1.24,1.14,0.1,1e+05,10.9333333333333,1.23546666666667,12.3546666666667,8.09310748974747,35.0566483327909,43.3166720906667,9.14534146341463,35.0571466661867,38.3333381333333
381,FW,8,3,504493.189,252265.545,2,30,20,2,2,TRUE,3.0707035,1.2,0.263333333333333,36.5333333333333,7.092884,25.91,0.263333333333333,1.32933333333333,1.39,1.29,0.0999999999999999,2e+05,24,1.356,27.12,14.7472625368732,61.405742252108,41.63873946,16.6646666666667,61.4067003116,36.848442
382,FW,8,4,504493.189,252265.545,2,50,20,1,1,FALSE,0.639128,1.42666666666667,0.17,49.5666666666667,7.092884,35.1566666666667,0.17,1.4285,1.47,1.37,0.0999999999999999,2e+05,28.5333333333333,1.61213333333333,32.2426666666667,12.4039217599868,12.7804992808939,10.3035955306667,14.016691588785,12.7807363547733,9.11822613333334
383,FW,8,5,504493.189,252265.545,2,83,45,4,1,FALSE,0.486785,1.42666666666667,0.17,49.5666666666667,7.092884,35.1566666666667,0.17,1.4285,1.47,1.37,0.0999999999999999,450000,64.2,1.61213333333333,72.546,27.9088239599702,21.901793569539,7.84762324666667,31.5375560747664,21.9021998403,6.94479933333333
384,FW,8,6,504493.189,252265.545,2,128,45,2,1,FALSE,0.412,1.42666666666667,0.17,49.5666666666667,7.092884,35.1566666666667,0.17,1.4285,1.47,1.37,0.0999999999999999,450000,64.2,1.61213333333333,72.546,27.9088239599702,18.5370111048,6.64198933333333,31.5375560747664,18.53735496,5.87786666666667
385,FW,9,1,504543.189,252265.545,2,5,10,2,1,FALSE,5.012857,0.91,0.52,45.3333333333333,7.092884,32.1533333333333,0.52,0.948166666666667,0.9925,0.89,0.1025,1e+05,9.1,1.0283,10.283,9.72378848585043,50.1234152791469,51.547208531,10.988010989011,50.12400830013,45.6169987
386,FW,9,2,504543.189,252265.545,2,15,10,1,1,FALSE,3.16675,1.02666666666667,0.403333333333333,57.4666666666667,7.092884,40.76,0.403333333333333,1.1935,1.24,1.14,0.1,1e+05,10.2666666666667,1.16013333333333,11.6013333333333,8.61869888518561,31.6638261477667,36.7385223333333,9.73925974025974,31.6642488033333,32.5119666666667
387,FW,9,3,504543.189,252265.545,2,30,20,1,1,FALSE,1.262303,1.36666666666667,0.246666666666667,47.8333333333333,7.092884,33.9266666666667,0.246666666666667,1.32933333333333,1.39,1.29,0.0999999999999999,2e+05,27.3333333333333,1.54433333333333,30.8866666666667,12.9485719835959,25.2421611668007,19.4941659966667,14.6321463414634,25.2426097051333,17.2514743333333
388,FW,9,4,504543.189,252265.545,2,50,20,1,1,FALSE,1.525643,1.45,0.223333333333333,53.6,7.092884,38.02,0.223333333333333,1.4285,1.47,1.37,0.0999999999999999,2e+05,29,1.6385,32.77,12.2042862374123,30.507860467889,24.997660555,13.7911034482759,30.5084356353,22.1218235
